2026-06-15T22:44:19 | INFO     | news_pipeline.app | app:103 | ← POST /collect/api  status=200  7.4ms
2026-06-15T22:44:26 | INFO     | news_pipeline.app | app:100 | → POST /collect/api
2026-06-15T22:44:26 | INFO     | news_pipeline.app | app:164 | POST /collect/api  provider=gnews query='technology'
2026-06-15T22:44:26 | INFO     | news_pipeline.news_collector | news_collector:294 | collect_articles: provider=gnews query='technology' category=None page=1
2026-06-15T22:44:26 | WARNING  | news_pipeline.news_collector | news_collector:143 | GNEWS_API_KEY not set — skipping GNews collection.
2026-06-15T22:44:26 | INFO     | news_pipeline.app | app:195 | collect/api done: collected=0 stored=0 dups=0 errors=0
2026-06-15T22:44:26 | INFO     | news_pipeline.app | app:103 | ← POST /collect/api  status=200  8.2ms
2026-06-15T22:44:32 | INFO     | news_pipeline.app | app:100 | → POST /collect/api
2026-06-15T22:44:32 | INFO     | news_pipeline.app | app:164 | POST /collect/api  provider=rss query='politics'
2026-06-15T22:44:32 | INFO     | news_pipeline.news_collector | news_collector:294 | collect_articles: provider=rss query='politics' category=None page=1
2026-06-15T22:44:32 | WARNING  | news_pipeline.news_collector | news_collector:214 | No RSS feed URLs configured or provided.
2026-06-15T22:44:32 | INFO     | news_pipeline.app | app:195 | collect/api done: collected=0 stored=0 dups=0 errors=0
2026-06-15T22:44:32 | INFO     | news_pipeline.app | app:103 | ← POST /collect/api  status=200  4.4ms
2026-06-15T22:44:47 | INFO     | news_pipeline.app | app:100 | → POST /collect/api
2026-06-15T22:44:47 | INFO     | news_pipeline.app | app:164 | POST /collect/api  provider=rss query='politics'
2026-06-15T22:44:47 | INFO     | news_pipeline.news_collector | news_collector:294 | collect_articles: provider=rss query='politics' category=None page=1
2026-06-15T22:44:47 | WARNING  | news_pipeline.news_collector | news_collector:214 | No RSS feed URLs configured or provided.
2026-06-15T22:44:47 | INFO     | news_pipeline.app | app:195 | collect/api done: collected=0 stored=0 dups=0 errors=0
2026-06-15T22:44:47 | INFO     | news_pipeline.app | app:103 | ← POST /collect/api  status=200  4.3ms
2026-06-15T22:44:58 | INFO     | news_pipeline.app | app:100 | → POST /collect/url
2026-06-15T22:44:58 | INFO     | news_pipeline.app | app:220 | POST /collect/url  url=https://www.bbc.com/news  playwright=False
2026-06-15T22:44:58 | INFO     | news_pipeline.scraper | scraper:57 | Scraping URL: https://www.bbc.com/news (playwright=False)
2026-06-15T22:44:59 | INFO     | news_pipeline.database | database:148 | Stored new article id=284f141a-853f-52b0-a0ed-7a94e1166836 title='BBC News - Breaking news, video and the latest top stories f'
2026-06-15T22:44:59 | INFO     | news_pipeline.app | app:232 | collect/url: Article stored.  article_id=284f141a-853f-52b0-a0ed-7a94e1166836
2026-06-15T22:44:59 | INFO     | news_pipeline.app | app:103 | ← POST /collect/url  status=200  1277.6ms
2026-06-15T22:45:19 | INFO     | news_pipeline.app | app:100 | → POST /collect/url
2026-06-15T22:45:19 | INFO     | news_pipeline.app | app:220 | POST /collect/url  url=https://techcrunch.com  playwright=True
2026-06-15T22:45:19 | INFO     | news_pipeline.scraper | scraper:57 | Scraping URL: https://techcrunch.com (playwright=True)
2026-06-15T22:45:27 | INFO     | news_pipeline.app | app:100 | → POST /clean
2026-06-15T22:45:27 | INFO     | news_pipeline.app | app:251 | POST /clean  html_len=84
2026-06-15T22:45:27 | INFO     | news_pipeline.app | app:103 | ← POST /clean  status=200  10.7ms
2026-06-15T22:45:33 | INFO     | news_pipeline.app | app:100 | → GET /articles
2026-06-15T22:45:33 | INFO     | news_pipeline.app | app:103 | ← GET /articles  status=200  12.4ms
2026-06-15T22:45:40 | INFO     | news_pipeline.app | app:100 | → GET /article/YOUR_ARTICLE_ID
2026-06-15T22:45:40 | INFO     | news_pipeline.app | app:296 | GET /article/YOUR_ARTICLE_ID
2026-06-15T22:45:40 | INFO     | news_pipeline.app | app:103 | ← GET /article/YOUR_ARTICLE_ID  status=404  10.0ms
